panel,curve,t_s_after_0121,value
normal_acceleration,ink_bottom,38.551,0.9631
normal_acceleration,ink_top,38.551,0.9785
normal_acceleration,ink_bottom,39.170,0.9631
normal_acceleration,ink_top,39.170,0.9785
normal_acceleration,ink_bottom,39.788,0.9631
normal_acceleration,ink_top,39.788,0.9785
normal_acceleration,ink_bottom,40.406,0.9631
normal_acceleration,ink_top,40.406,0.9785
normal_acceleration,ink_bottom,41.025,0.9631
normal_acceleration,ink_top,41.025,0.9785
normal_acceleration,ink_bottom,41.643,0.9631
normal_acceleration,ink_top,41.643,0.9785
normal_acceleration,ink_bottom,42.261,0.9631
normal_acceleration,ink_top,42.261,0.9785
normal_acceleration,ink_bottom,42.880,0.9631
normal_acceleration,ink_top,42.880,0.9785
normal_acceleration,ink_bottom,43.498,0.9631
normal_acceleration,ink_top,43.498,0.9631
normal_acceleration,ink_bottom,44.117,0.9631
normal_acceleration,ink_top,44.117,0.9631
normal_acceleration,ink_bottom,44.735,0.9631
normal_acceleration,ink_top,44.735,0.9631
normal_acceleration,ink_bottom,45.353,0.9477
normal_acceleration,ink_top,45.353,0.9631
normal_acceleration,ink_bottom,45.972,0.9477
normal_acceleration,ink_top,45.972,0.9631
normal_acceleration,ink_bottom,46.590,0.9477
normal_acceleration,ink_top,46.590,0.9631
normal_acceleration,ink_bottom,47.208,0.9477
normal_acceleration,ink_top,47.208,0.9631
normal_acceleration,ink_bottom,47.827,0.9477
normal_acceleration,ink_top,47.827,0.9631
normal_acceleration,ink_bottom,48.445,0.9477
normal_acceleration,ink_top,48.445,0.9785
normal_acceleration,ink_bottom,49.064,0.9631
normal_acceleration,ink_top,49.064,0.9785
normal_acceleration,ink_bottom,49.682,0.9631
normal_acceleration,ink_top,49.682,0.9939
normal_acceleration,ink_bottom,50.300,0.9785
normal_acceleration,ink_top,50.300,0.9939
normal_acceleration,ink_bottom,50.919,0.9785
normal_acceleration,ink_top,50.919,0.9939
normal_acceleration,ink_bottom,51.537,0.9785
normal_acceleration,ink_top,51.537,0.9939
normal_acceleration,ink_bottom,52.155,0.9785
normal_acceleration,ink_top,52.155,0.9939
normal_acceleration,ink_bottom,52.774,0.9785
normal_acceleration,ink_top,52.774,0.9939
normal_acceleration,ink_bottom,53.392,0.9785
normal_acceleration,ink_top,53.392,0.9939
normal_acceleration,ink_bottom,54.011,0.9785
normal_acceleration,ink_top,54.011,0.9939
normal_acceleration,ink_bottom,54.629,0.9631
normal_acceleration,ink_top,54.629,0.9785
normal_acceleration,ink_bottom,55.247,0.9631
normal_acceleration,ink_top,55.247,0.9785
normal_acceleration,ink_bottom,55.866,0.9631
normal_acceleration,ink_top,55.866,0.9785
normal_acceleration,ink_bottom,56.484,0.9631
normal_acceleration,ink_top,56.484,0.9785
normal_acceleration,ink_bottom,57.102,0.9631
normal_acceleration,ink_top,57.102,0.9785
normal_acceleration,ink_bottom,57.721,0.9631
normal_acceleration,ink_top,57.721,0.9785
normal_acceleration,ink_bottom,58.339,0.9631
normal_acceleration,ink_top,58.339,0.9631
normal_acceleration,ink_bottom,58.958,0.9631
normal_acceleration,ink_top,58.958,0.9785
normal_acceleration,ink_bottom,59.576,0.9631
normal_acceleration,ink_top,59.576,0.9785
normal_acceleration,ink_bottom,60.194,0.9631
normal_acceleration,ink_top,60.194,0.9785
normal_acceleration,ink_bottom,60.813,0.9785
normal_acceleration,ink_top,60.813,0.9785
normal_acceleration,ink_bottom,61.431,0.9785
normal_acceleration,ink_top,61.431,0.9939
normal_acceleration,ink_bottom,62.049,0.9785
normal_acceleration,ink_top,62.049,0.9939
normal_acceleration,ink_bottom,62.668,0.9785
normal_acceleration,ink_top,62.668,0.9939
normal_acceleration,ink_bottom,63.286,0.9785
normal_acceleration,ink_top,63.286,0.9939
normal_acceleration,ink_bottom,63.905,0.9785
normal_acceleration,ink_top,63.905,0.9939
normal_acceleration,ink_bottom,64.523,0.9785
normal_acceleration,ink_top,64.523,0.9939
normal_acceleration,ink_bottom,65.141,0.9785
normal_acceleration,ink_top,65.141,0.9939
normal_acceleration,ink_bottom,65.760,0.9785
normal_acceleration,ink_top,65.760,0.9939
normal_acceleration,ink_bottom,66.378,0.9785
normal_acceleration,ink_top,66.378,0.9939
normal_acceleration,ink_bottom,66.996,0.9631
normal_acceleration,ink_top,66.996,0.9785
normal_acceleration,ink_bottom,67.615,0.9631
normal_acceleration,ink_top,67.615,0.9785
normal_acceleration,ink_bottom,68.233,0.9631
normal_acceleration,ink_top,68.233,0.9785
normal_acceleration,ink_bottom,68.852,0.9631
normal_acceleration,ink_top,68.852,0.9785
normal_acceleration,ink_bottom,69.470,0.9631
normal_acceleration,ink_top,69.470,0.9785
normal_acceleration,ink_bottom,70.088,0.9631
normal_acceleration,ink_top,70.088,0.9785
normal_acceleration,ink_bottom,70.707,0.9631
normal_acceleration,ink_top,70.707,0.9785
normal_acceleration,ink_bottom,71.325,0.9631
